amount,transaction_time,merchant_type,card_country,device_score
198.49090491320257,84616.0,grocery,BR,0.33950236990162563
37.119342410702686,1055.0,grocery,IN,0.1742508427312176
32.89070187575987,27287.0,travel,CN,0.025251882929577252
143.5023110226004,58570.0,grocery,UK,0.8875122152019242
97.25781178129206,380.0,grocery,US,0.7368252636964233
131.8422570335427,37878.0,grocery,CN,0.6622026342982749
123.51574328354491,18578.0,online,IN,0.3586451523634614
27.016432303175915,30703.0,grocery,BR,0.5003264481591394
131.42330960127398,45254.0,online,IN,0.9245925533186489
214.63996356646624,59145.0,grocery,UK,0.2505985364154336
88.0765224293421,35484.0,grocery,UK,0.39909449977216327
23.56475237224316,82060.0,grocery,UK,0.05512261392215456
